Name,Source,Population,Yearly Change,Net Change,Density per km2,Land Area,Migrants,Fertility Rate,Median Age,Urban Population,World Share
Cuba,https://www.worldometers.info/world-population/cuba-population/,"10,892,659",−0.41%,"−44,544",102,"106,440","−22,086",1.46,42.5,82.4%,0.13%
Sweden,https://www.worldometers.info/world-population/sweden-population/,"10,701,047",0.42%,"44,414",26,"410,340","42,755",1.45,40.4,87.7%,0.13%
Czech Republic (Czechia),https://www.worldometers.info/world-population/czechia-population/,"10,527,781",−0.77%,"−81,458",136,"77,240","13,400",1.47,44.3,75.7%,0.13%
Azerbaijan,https://www.worldometers.info/world-population/azerbaijan-population/,"10,454,855",0.55%,"57,142",126,"82,658","7,708",1.66,34.1,59.1%,0.13%
Portugal,https://www.worldometers.info/world-population/portugal-population/,"10,395,362",−0.16%,"−16,472",113,"91,590","16,968",1.52,47.2,66.9%,0.13%
Togo,https://www.worldometers.info/world-population/togo-population/,"9,930,918",2.15%,"209,310",183,"54,390","−12,642",4.01,19.2,44.8%,0.12%
Greece,https://www.worldometers.info/world-population/greece-population/,"9,897,115",−0.42%,"−41,729",77,"128,900","14,649",1.34,47.1,90%,0.12%
Israel,https://www.worldometers.info/world-population/israel-population/,"9,647,689",1.37%,"130,508",446,"21,640","13,023",2.73,29.3,91.5%,0.12%
Hungary,https://www.worldometers.info/world-population/hungary-population/,"9,585,818",−0.48%,"−46,469",106,"90,530","12,936",1.5,44.2,72.4%,0.12%
Austria,https://www.worldometers.info/world-population/austria-population/,"9,107,266",−0.07%,"−6,308",111,"82,409","13,212",1.34,43.9,59%,0.11%
Switzerland,https://www.worldometers.info/world-population/switzerland-population/,"9,007,798",0.45%,"40,391",228,"39,516","34,096",1.45,43.2,74.6%,0.11%
Sierra Leone,https://www.worldometers.info/world-population/sierra-leone-population/,"8,996,745",2.01%,"176,951",125,"72,180","−12,277",3.53,19.9,46%,0.11%
Belarus,https://www.worldometers.info/world-population/belarus-population/,"8,937,018",−0.67%,"−60,585",44,"202,910","−3,608",1.23,41.8,85.1%,0.11%
Laos,https://www.worldometers.info/world-population/laos-population/,"7,974,017",1.28%,"100,971",35,"230,800","−11,125",2.33,25.3,38.9%,0.096%
Turkmenistan,https://www.worldometers.info/world-population/turkmenistan-population/,"7,736,632",1.55%,"117,785",16,"469,930","11,792",2.6,27.3,46.7%,0.093%
Libya,https://www.worldometers.info/world-population/libya-population/,"7,539,851",1.09%,"81,296",4,"1,759,540","2,610",2.21,28,77.7%,0.091%
Kyrgyzstan,https://www.worldometers.info/world-population/kyrgyzstan-population/,"7,400,465",1.45%,"105,431",39,"191,800",39,2.72,25.5,35.5%,0.089%
Hong Kong,https://www.worldometers.info/world-population/china-hong-kong-sar-population/,"7,378,602",−0.24%,"−17,474","7,027","1,050","−12,576",0.75,47.9,–,0.089%
Nicaragua,https://www.worldometers.info/world-population/nicaragua-population/,"7,097,329",1.28%,"89,827",59,"120,340","−8,485",2.16,26.3,58.2%,0.086%
Paraguay,https://www.worldometers.info/world-population/paraguay-population/,"7,095,279",1.17%,"82,201",18,"397,300","−12,243",2.37,27.3,68.3%,0.085%
Bulgaria,https://www.worldometers.info/world-population/bulgaria-population/,"6,667,659",−0.7%,"−46,901",61,"108,560","−5,722",1.74,45,77.4%,0.080%
Serbia,https://www.worldometers.info/world-population/serbia-population/,"6,641,964",−0.7%,"−47,075",76,"87,460","−5,883",1.5,44.7,74.2%,0.080%
Congo,https://www.worldometers.info/world-population/congo-population/,"6,637,785",2.36%,"153,348",19,"341,500","−3,298",3.99,18.7,70.3%,0.080%
El Salvador,https://www.worldometers.info/world-population/el-salvador-population/,"6,391,253",0.4%,"25,750",308,"20,720","−23,530",1.74,28.4,80.5%,0.077%
Denmark,https://www.worldometers.info/world-population/denmark-population/,"6,023,520",0.35%,"21,013",142,"42,430","18,360",1.52,41.3,87.6%,0.073%
Singapore,https://www.worldometers.info/world-population/singapore-population/,"5,905,748",0.6%,"34,998","8,437",700,"13,379",0.97,36.8,–,0.071%
Lebanon,https://www.worldometers.info/world-population/lebanon-population/,"5,897,467",0.82%,"48,046",576,"10,230","−6,685",2.19,29,84.4%,0.071%
Liberia,https://www.worldometers.info/world-population/liberia-population/,"5,853,949",2.14%,"122,743",61,"96,320","−1,051",3.71,19,55.7%,0.071%
Central African Republic,https://www.worldometers.info/world-population/central-african-republic-population/,"5,698,984",3.37%,"185,702",9,"622,980","−15,608",5.69,14.6,44.5%,0.069%
State of Palestine,https://www.worldometers.info/world-population/state-of-palestine-population/,"5,692,790",1.85%,"103,167",946,"6,020","−20,055",3.13,20.3,85%,0.069%
Oman,https://www.worldometers.info/world-population/oman-population/,"5,671,458",3.22%,"176,767",18,"309,500","79,740",2.44,29.8,89.6%,0.068%
Norway,https://www.worldometers.info/world-population/norway-population/,"5,652,989",0.53%,"29,918",15,"365,268","12,047",1.42,40.1,86.5%,0.068%
Finland,https://www.worldometers.info/world-population/finland-population/,"5,621,739",−0.03%,"−1,590",18,"303,890","12,666",1.3,43.4,87.1%,0.068%
Mauritania,https://www.worldometers.info/world-population/mauritania-population/,"5,461,319",2.75%,"146,254",5,"1,030,700","−5,842",4.49,17.5,60.9%,0.066%
Slovakia,https://www.worldometers.info/world-population/slovakia-population/,"5,451,342",−0.43%,"−23,539",113,"48,088",134,1.57,42.8,54.3%,0.066%
Ireland,https://www.worldometers.info/world-population/ireland-population/,"5,356,950",0.92%,"48,911",78,"68,890","32,022",1.6,39.2,62.2%,0.065%
New Zealand,https://www.worldometers.info/world-population/new-zealand-population/,"5,287,479",0.68%,"35,580",20,"263,310","16,435",1.64,38,83.7%,0.064%
Costa Rica,https://www.worldometers.info/world-population/costa-rica-population/,"5,174,789",0.42%,"21,839",101,"51,060",966,1.31,35.7,85.9%,0.062%
Kuwait,https://www.worldometers.info/world-population/kuwait-population/,"5,102,773",1.53%,"76,695",286,"17,820","30,696",1.49,34.8,91.3%,0.061%
Panama,https://www.worldometers.info/world-population/panama-population/,"4,625,718",1.19%,"54,529",62,"74,340","5,665",2.07,30.6,71.1%,0.056%
Croatia,https://www.worldometers.info/world-population/croatia-population/,"3,822,345",−0.67%,"−25,815",68,"55,960","−2,491",1.47,45.5,62.2%,0.046%
Georgia,https://www.worldometers.info/world-population/georgia-population/,"3,804,642",−0.05%,"−2,029",55,"69,490","1,215",1.78,37.6,62.2%,0.046%
Eritrea,https://www.worldometers.info/world-population/eritrea-population/,"3,682,669",2.1%,"75,666",36,"101,000","−7,520",3.55,19.5,75.9%,0.044%
Mongolia,https://www.worldometers.info/world-population/mongolia-population/,"3,556,798",1.13%,"39,698",2,"1,553,560",12,2.54,27,67.3%,0.043%
Uruguay,https://www.worldometers.info/world-population/uruguay-population/,"3,382,537",−0.06%,"−2,151",19,"175,020","−1,413",1.38,36.7,–,0.041%
Puerto Rico,https://www.worldometers.info/world-population/puerto-rico-population/,"3,222,688",−0.39%,"−12,601",363,"8,870","1,056",0.94,46.2,–,0.039%
Qatar,https://www.worldometers.info/world-population/qatar-population/,"3,173,559",1.85%,"57,670",273,"11,610","24,791",1.69,33.4,96.2%,0.038%
Namibia,https://www.worldometers.info/world-population/namibia-population/,"3,153,246",1.95%,"60,430",4,"823,290",47,3.13,21.5,55.2%,0.038%
Bosnia and Herzegovina,https://www.worldometers.info/world-population/bosnia-and-herzegovina-population/,"3,114,242",−0.82%,"−25,853",61,"51,000","−7,581",1.5,46.1,57.1%,0.038%
Moldova,https://www.worldometers.info/world-population/moldova-population/,"2,961,253",−1.16%,"−34,853",90,"32,850","−16,732",1.72,39.1,58.5%,0.036%
Armenia,https://www.worldometers.info/world-population/armenia-population/,"2,930,915",−0.73%,"−21,450",103,"28,470","−27,000",1.71,37.2,64.4%,0.035%
Gambia,https://www.worldometers.info/world-population/gambia-population/,"2,884,079",2.2%,"61,986",285,"10,120","−2,894",3.7,18.8,62.2%,0.035%
Jamaica,https://www.worldometers.info/world-population/jamaica-population/,"2,833,403",−0.13%,"−3,674",262,"10,830","−11,683",1.33,33.3,60.7%,0.034%
Lithuania,https://www.worldometers.info/world-population/lithuania-population/,"2,797,338",−1.16%,"−32,806",45,"62,674","−4,846",1.22,42.6,68.9%,0.034%
Albania,https://www.worldometers.info/world-population/albania-population/,"2,751,025",−0.74%,"−20,483",100,"27,400","−22,595",1.32,37.8,71.6%,0.033%
Gabon,https://www.worldometers.info/world-population/gabon-population/,"2,647,399",2.09%,"54,269",10,"257,670","1,152",3.49,21.6,83.8%,0.032%
Botswana,https://www.worldometers.info/world-population/botswana-population/,"2,603,388",1.61%,"41,266",5,"566,730","−4,169",2.63,23.7,76.1%,0.031%
Lesotho,https://www.worldometers.info/world-population/lesotho-population/,"2,389,336",1.1%,"26,011",79,"30,360","−4,876",2.61,22.1,33.3%,0.029%
Guinea-Bissau,https://www.worldometers.info/world-population/guinea-bissau-population/,"2,297,808",2.15%,"48,293",82,"28,120","−1,893",3.62,19.6,46.6%,0.028%
Slovenia,https://www.worldometers.info/world-population/slovenia-population/,"2,114,573",−0.12%,"−2,499",105,"20,140","2,609",1.58,45,56.1%,0.025%
Equatorial Guinea,https://www.worldometers.info/world-population/equatorial-guinea-population/,"1,984,468",2.37%,"46,037",71,"28,050","3,533",3.96,20.9,64.2%,0.024%
Latvia,https://www.worldometers.info/world-population/latvia-population/,"1,835,935",−0.95%,"−17,624",30,"62,200",−360,1.35,43.8,67.7%,0.022%
North Macedonia,https://www.worldometers.info/world-population/north-macedonia-population/,"1,804,063",−0.54%,"−9,728",72,"25,220","−5,731",1.47,41.4,70.3%,0.022%
Bahrain,https://www.worldometers.info/world-population/bahrain-population/,"1,675,572",1.96%,"32,240","2,205",760,"14,280",1.77,33.4,–,0.020%
